STATE,FMNOENF,AGEPRIORITY,stayhome_days_since_earliest_adoption,stayhome_duration_days,clbsns_days_since_earliest_adoption,clbsns_duration_days,FM_ALL_days_since_earliest_adoption
Alabama,1,0,16.0,26.0,9.0,33.0,99.0
Alaska,0,1,9.0,27.0,5.0,31.0,16.0
Arizona,0,0,12.0,46.0,12.0,38.0,-1.0
Arkansas,0,0,-1.0,0.0,18.0,28.0,103.0
California,1,0,0.0,312.0,0.0,50.0,71.0
Colorado,0,0,7.0,32.0,0.0,43.0,99.0
Connecticut,1,0,-1.0,0.0,4.0,58.0,12.0
Delaware,0,0,5.0,69.0,5.0,45.0,20.0
District of Columbia,0,0,13.0,58.0,6.0,65.0,9.0
Florida,0,1,15.0,45.0,15.0,45.0,-1.0
Georgia,0,1,15.0,28.0,15.0,28.0,-1.0
Hawaii,0,0,6.0,67.0,6.0,43.0,-1.0
Idaho,0,0,6.0,37.0,6.0,37.0,-1.0
Illinois,0,0,2.0,69.0,2.0,69.0,23.0
Indiana,0,1,6.0,54.0,6.0,54.0,110.0
Iowa,0,0,-1.0,0.0,7.0,50.0,222.0
Kansas,1,0,11.0,35.0,11.0,35.0,86.0
Kentucky,1,1,-1.0,0.0,7.0,46.0,33.0
Louisiana,0,0,4.0,53.0,4.0,39.0,121.0
Maine,0,0,14.0,59.0,6.0,37.0,23.0
Maryland,0,1,11.0,46.0,4.0,53.0,10.0
Massachusetts,0,0,5.0,55.0,5.0,55.0,28.0
Michigan,0,0,5.0,69.0,5.0,63.0,19.0
Minnesota,0,0,9.0,51.0,9.0,30.0,107.0
Mississippi,1,1,15.0,24.0,15.0,24.0,119.0
Missouri,0,0,18.0,28.0,15.0,31.0,-1.0
Montana,0,1,9.0,29.0,9.0,30.0,-1.0
Nebraska,0,0,-1.0,0.0,21.0,53.0,-1.0
Nevada,0,0,12.0,39.0,2.0,49.0,79.0
New Hampshire,0,1,9.0,80.0,9.0,44.0,226.0
New Jersey,0,1,2.0,80.0,2.0,58.0,0.0
New Mexico,1,0,5.0,0.0,5.0,53.0,37.0
New York,0,0,3.0,97.0,3.0,78.0,9.0
North Carolina,0,1,11.0,53.0,11.0,39.0,79.0
North Dakota,0,1,-1.0,0.0,1.0,42.0,220.0
Ohio,1,1,5.0,57.0,5.0,41.0,106.0
Oklahoma,0,1,-1.0,0.0,13.0,23.0,-1.0
Oregon,1,0,4.0,88.0,4.0,53.0,84.0
Pennsylvania,0,1,13.0,65.0,2.0,76.0,84.0
Rhode Island,1,1,9.0,42.0,11.0,40.0,10.0
South Carolina,0,1,19.0,27.0,13.0,19.0,-1.0
South Dakota,0,1,-1.0,0.0,-1.0,0.0,-1.0
Tennessee,0,1,14.0,27.0,13.0,26.0,-1.0
Texas,0,1,-1.0,0.0,14.0,29.0,86.0
Utah,1,1,-1.0,0.0,8.0,35.0,2.0
Vermont,1,1,5.0,52.0,6.0,33.0,115.0
Virginia,0,0,11.0,60.0,6.0,65.0,51.0
Washington,0,0,4.0,70.0,6.0,68.0,79.0
West Virginia,1,1,5.0,42.0,5.0,41.0,90.0
Wisconsin,0,0,6.0,49.0,6.0,47.0,115.0
Wyoming,0,0,-1.0,0.0,0.0,43.0,-1.0
