state,trump_pct,biden_pct
Alaska,53.1,43.0
Hawaii,34.3,63.7
Washington,39.0,58.4
Oregon,40.7,56.9
California,34.3,63.5
Idaho,63.9,33.1
Montana,56.9,40.6
Nevada,47.7,50.1
Wyoming,70.4,26.7
Utah,58.2,37.7
Arizona,49.1,49.4
Colorado,41.9,55.4
New Mexico,43.5,54.3
North Dakota,65.5,31.9
South Dakota,61.8,35.6
Nebraska,58.5,39.4
Kansas,56.5,41.3
Oklahoma,65.4,32.3
Texas,52.1,46.5
Minnesota,45.4,52.6
Iowa,53.2,45.0
Missouri,56.8,41.4
Arkansas,62.4,34.8
Louisiana,58.5,39.9
Wisconsin,48.9,49.6
Illinois,40.5,57.6
Mississippi,57.6,41.1
Michigan,47.8,50.6
Indiana,57.1,41.0
Kentucky,62.1,36.2
Tennessee,60.7,37.4
Alabama,62.2,36.7
Ohio,53.3,45.3
West Virginia,68.6,29.7
Georgia,49.3,49.5
Florida,51.2,47.9
Maine,44.0,53.1
New Hampshire,45.5,52.9
Vermont,30.8,66.4
Massachusetts,32.3,65.9
Rhode Island,38.8,59.7
Connecticut,39.2,59.3
New York,41.5,57.1
Pennsylvania,48.8,50.0
Virginia,44.2,54.4
New Jersey,41.4,57.3
Delaware,39.8,58.8
Maryland,32.4,65.8
North Carolina,50.1,48.7
South Carolina,55.1,43.4
District of Columbia,5.4,93.0
Puerto Rico,,
