state,cases_per_100k,deaths_per_100k,death_rate
Alabama,33490.14628199919,439.4758228362454,0.01312254115391732
Alaska,42256.22435020519,196.71682626538987,0.004655333723975616
Arizona,33028.729281767955,447.2443066972106,0.013541069136562028
Arkansas,33266.347740019795,431.14483668756185,0.012960389882803087
California,30911.293436293436,264.87756553546023,0.008568957687951788
Colorado,30492.59641873278,245.26515151515153,0.00804343284340574
Connecticut,27507.89991565926,344.95361259488334,0.0125401653216905
Delaware,33724.51874366768,339.61499493414385,0.0100702695719835
District of Columbia,26600.89552238806,213.7313432835821,0.008034742405709604
Florida,34706.98476970506,400.9616711912759,0.011552765930311132
Georgia,27870.429505135387,383.3333333333333,0.01375412364071033
Hawaii,26468.2302771855,131.55650319829425,0.004970355094412579
Idaho,28621.729611384784,298.631636562671,0.010433738303637849
Illinois,32633.70670479822,330.6164601207499,0.010131134140276455
Indiana,30414.99629903775,387.54996299037754,0.0127420683921845
Iowa,28679.551201011378,340.3919089759798,0.011868801802030149
Kansas,32286.032944406314,351.13246396705557,0.010875676939674644
Kentucky,38495.488050033506,409.82800982800984,0.01064613102957278
Louisiana,34030.33369214209,405.4897739504844,0.011915539166285509
Maine,23703.48148148148,220.81481481481484,0.009315712334803139
Maryland,22621.036988110965,275.29722589167767,0.012169964888716942
Massachusetts,32349.14418334784,354.52567449956484,0.010959352509920858
Michigan,30783.53566770342,424.51088592354773,0.013790192605098438
Minnesota,31540.79901007601,264.52183135937776,0.008386656003066812
Mississippi,33469.329288843954,452.67947421638013,0.013525203039167804
Missouri,29164.61313394018,390.0845253576073,0.013375268294015127
Montana,30608.233117483815,342.368177613321,0.011185493010955798
Nebraska,29454.85036119711,261.5067079463364,0.008878222253365684
Nevada,28451.688973868706,385.3728489483748,0.013544814485435937
New Hampshire,27795.68081991215,220.93704245973646,0.007948610573390327
New Jersey,34422.90024769196,406.40621481648276,0.011806274657049913
New Mexico,31982.003798670466,432.5735992402659,0.013525531482122098
New York,35193.003051145475,414.27832652427986,0.011771610564810717
North Carolina,32843.429865107064,280.59617017262525,0.008543449065005577
North Dakota,37660.91503267974,330.5882352941176,0.008778019201266201
Ohio,29207.679808432396,359.71093816813476,0.012315628647239708
Oklahoma,32550.414468726452,415.6995729716151,0.012770945616407065
Oregon,22799.528524281,222.7958510136728,0.009771949923280215
Pennsylvania,27686.26300555425,396.6283345067668,0.014325816901587535
Puerto Rico,34913.974869751764,179.2215752375115,0.0051332332083673105
Rhode Island,43688.55250709555,370.3878902554399,0.008477916273268254
South Carolina,35271.330011498656,386.96818704484474,0.010971182173132992
South Dakota,31413.773796192607,360.80627099664054,0.01148560734337403
Tennessee,35707.15841440395,421.59140409467113,0.011806915554630214
Texas,28770.028268791935,321.9168284458976,0.011189312204989886
Utah,33632.276923076926,163.56923076923076,0.004863459918082355
Vermont,24590.369181380418,150.7223113964687,0.006129322837112756
Virginia,26752.41531835642,276.8245838668374,0.010347648261758692
Washington,25223.602807382376,206.71952170522485,0.008195479578544693
West Virginia,36174.22969187675,455.5742296918767,0.012593888897492682
Wisconsin,34536.670666895254,282.61614949425683,0.008183074512887412
Wyoming,31924.398625429552,346.0481099656357,0.010839612486544671
