date,location,people_vaccinated,people_fully_vaccinated
2021-06-01,Alabama,1766784.0,1433267.0
2021-06-01,Alaska,338093.0,288024.0
2021-06-01,Arizona,3376964.0,2628096.0
2021-06-01,Arkansas,1195224.0,942315.0
2021-06-01,California,22503069.0,17104505.0
2021-06-01,Colorado,3126292.0,2616155.0
2021-06-01,Connecticut,2261237.0,1913791.0
2021-06-01,Delaware,534442.0,422890.0
2021-06-01,District of Columbia,403411.0,327604.0
2021-06-01,Florida,10589244.0,8414881.0
2021-06-01,Georgia,4236245.0,3407704.0
2021-06-01,Hawaii,946860.0,676487.0
2021-06-01,Idaho,673393.0,586778.0
2021-06-01,Illinois,6987611.0,5088954.0
2021-06-01,Indiana,2819004.0,2390812.0
2021-06-01,Iowa,1556439.0,1385346.0
2021-06-01,Kansas,1365645.0,1120823.0
2021-06-01,Kentucky,2077352.0,1721098.0
2021-06-01,Louisiana,1666297.0,1455285.0
2021-06-01,Maine,849245.0,731870.0
2021-06-01,Maryland,3483007.0,2915133.0
2021-06-01,Massachusetts,4587271.0,3711007.0
2021-06-01,Michigan,4882092.0,4216249.0
2021-06-01,Minnesota,3072620.0,2604793.0
2021-06-01,Mississippi,1010932.0,807549.0
2021-06-01,Missouri,2594926.0,2112842.0
2021-06-01,Montana,484289.0,409758.0
2021-06-01,Nebraska,938657.0,820629.0
2021-06-01,Nevada,1408090.0,1139340.0
2021-06-01,New Hampshire,816244.0,669207.0
2021-06-01,New Jersey,5370011.0,4341543.0
2021-06-01,New Mexico,,
2021-06-01,North Carolina,4556607.0,3792863.0
2021-06-01,North Dakota,321763.0,278971.0
2021-06-01,Ohio,5370444.0,4710678.0
2021-06-01,Oklahoma,1646316.0,1336335.0
2021-06-01,Oregon,2320098.0,1920451.0
2021-06-01,Pennsylvania,7489056.0,5597140.0
2021-06-01,Puerto Rico,1628639.0,1189594.0
2021-06-01,Rhode Island,646437.0,548366.0
2021-06-01,South Carolina,2110412.0,1741817.0
2021-06-01,South Dakota,426836.0,375491.0
2021-06-01,Tennessee,2681462.0,2173313.0
2021-06-01,Texas,12857415.0,10325589.0
2021-06-01,Utah,1452779.0,1041941.0
2021-06-01,Vermont,440908.0,351788.0
2021-06-01,Virginia,4727104.0,3866205.0
2021-06-01,Washington,4322203.0,3553192.0
2021-06-01,West Virginia,730686.0,610103.0
2021-06-01,Wisconsin,2979990.0,2596098.0
2021-06-01,Wyoming,214414.0,184236.0
