state,pct_full_max,pct_full_asof_2022-03-01,pct_full_2021-09-01,pct_full_2022-09-01,pct_full_growth_pp_2021-09-01_to_2022-09-01
Alabama,53.12,50.25,38.38,52.15,13.769999999999996
Alaska,65.07,60.98,47.27,63.37,16.099999999999994
Arizona,65.95,60.13,47.98,63.12,15.14
Arkansas,56.82,53.51,41.78,55.6,13.82
California,74.6,70.33,55.98,73.45,17.470000000000006
Colorado,73.42,69.22,57.04,71.58,14.54
Connecticut,82.98,77.81,66.21,80.78,14.570000000000007
Delaware,73.26,67.57,55.4,70.89,15.490000000000002
District of Columbia,90.25,71.55,57.37,78.84,21.470000000000006
Florida,69.34,65.97,53.19,68.18,14.990000000000009
Georgia,57.24,53.68,41.86,56.05,14.189999999999998
Hawaii,81.44,77.25,55.36,79.72,24.36
Idaho,56.41,53.12,39.26,55.14,15.880000000000003
Illinois,71.19,67.49,50.58,69.6,19.019999999999996
Indiana,57.69,54.06,46.37,56.83,10.46
Iowa,64.32,61.14,51.82,62.95,11.130000000000003
Kansas,65.24,59.47,48.36,63.33,14.969999999999999
Kentucky,59.57,56.44,48.66,58.4,9.740000000000002
Louisiana,54.99,52.57,41.62,54.36,12.740000000000002
Maine,83.24,78.37,65.91,81.24,15.329999999999998
Maryland,79.64,74.11,61.6,77.33,15.729999999999997
Massachusetts,84.17,77.62,66.04,80.82,14.779999999999987
Michigan,62.28,59.21,50.57,61.11,10.54
Minnesota,72.07,68.25,55.98,70.35,14.369999999999997
Mississippi,53.65,50.95,38.45,52.97,14.519999999999996
Missouri,59.0,55.14,45.17,57.3,12.129999999999995
Montana,59.12,55.97,46.01,57.84,11.830000000000005
Nebraska,66.2,62.53,52.06,64.72,12.659999999999997
Nevada,63.66,59.73,47.97,61.97,14.0
New Hampshire,71.86,63.96,59.72,63.96,4.240000000000002
New Jersey,79.06,74.29,61.58,77.14,15.560000000000002
New Mexico,75.12,69.69,60.1,72.77,12.669999999999995
New York,80.72,75.55,60.27,78.47,18.199999999999996
North Carolina,67.06,59.37,46.45,63.48,17.029999999999994
North Dakota,58.61,54.47,41.69,56.68,14.990000000000002
Ohio,60.4,57.63,48.48,59.31,10.830000000000005
Oklahoma,60.42,56.03,44.0,58.62,14.619999999999997
Oregon,72.31,68.71,58.14,70.7,12.560000000000002
Pennsylvania,73.26,67.02,55.24,70.55,15.309999999999995
Puerto Rico,83.98,77.99,63.13,77.99,14.859999999999992
Rhode Island,87.62,80.72,64.94,84.91,19.97
South Carolina,59.85,55.92,43.47,58.33,14.86
South Dakota,66.2,59.92,49.32,63.67,14.350000000000001
Tennessee,56.24,53.61,41.97,55.4,13.43
Texas,63.19,60.1,47.6,61.62,14.019999999999996
Utah,66.62,63.26,47.76,65.39,17.630000000000003
Vermont,85.59,80.05,67.93,82.84,14.909999999999997
Virginia,76.53,72.03,57.36,74.61,17.25
Washington,75.97,71.48,59.37,73.75,14.380000000000003
West Virginia,59.66,56.8,39.67,58.65,18.979999999999997
Wisconsin,68.14,64.61,54.06,66.65,12.590000000000003
Wyoming,52.99,50.63,38.66,51.88,13.220000000000006
