state,total_population_thousands,population_65_plus_thousands,population_65_plus_percent
Maine,1350,294,21.8
Florida,21733,4638,21.3
West Virginia,1785,374,20.9
Vermont,623,129,20.6
Delaware,987,198,20.0
Montana,1081,213,19.7
Hawaii,1407,275,19.6
New Hampshire,1366,263,19.3
Pennsylvania,12783,2448,19.1
South Carolina,5218,976,18.7
Oregon,4242,790,18.6
Arizona,7421,1374,18.5
New Mexico,2106,390,18.5
Rhode Island,1057,192,18.2
Connecticut,3557,646,18.2
Michigan,9967,1812,18.2
Wisconsin,5833,1048,18.0
Iowa,3164,566,17.9
Ohio,11693,2098,17.9
Alabama,4922,874,17.8
Wyoming,582,104,17.8
Arkansas,3031,536,17.7
Missouri,6152,1090,17.7
South Dakota,893,157,17.6
Massachusetts,6894,1198,17.4
New York,19337,3370,17.4
Kentucky,4477,771,17.2
North Carolina,10601,1815,17.1
Tennessee,6887,1181,17.1
New Jersey,8882,1510,17.0
Mississippi,2967,500,16.9
Kansas,2914,488,16.8
Minnesota,5657,949,16.8
Idaho,1827,306,16.7
Illinois,12588,2089,16.6
Nevada,3138,519,16.5
Indiana,6755,1115,16.5
Nebraska,1938,319,16.5
Louisiana,4645,764,16.4
Oklahoma,3981,653,16.4
Maryland,6056,987,16.3
Virginia,8591,1401,16.3
Washington,7694,1248,16.2
North Dakota,765,123,16.1
California,39368,5976,15.2
Colorado,5808,876,15.1
Georgia,10710,1575,14.7
Texas,29361,3874,13.2
Alaska,731,96,13.1
Utah,3250,382,11.7
Puerto Rico,3263,740,22.7
District of Columbia,670,85,12.7
