state,population_over_25,population_with_hs,population_with_bachelors,population_with_advanced
Alabama,3451208,3034741,946766,374490
Alaska,485779,453289,159290,57868
Arizona,4980297,4430934,1615081,629408
Arkansas,2037763,1806873,515034,190897
California,26909869,22724990,9737817,3779787
Colorado,4044182,3738208,1796240,688931
Connecticut,2534376,2309185,1067671,479981
Delaware,711104,649638,253292,106997
District of Columbia,478774,444233,301852,181081
Florida,15762122,14153579,5226846,1978625
Georgia,7234271,6436394,2505076,991062
Hawaii,1021687,949476,360681,133832
Idaho,1257566,1147653,386264,132502
Illinois,8730697,7872693,3242579,1310297
Indiana,4559631,4132897,1316787,473718
Iowa,2137261,1994595,652742,210864
Kansas,1942133,1784711,687452,259988
Kentucky,3077867,2708147,830414,341868
Louisiana,3117186,2701889,824369,300894
Maine,1015078,959533,365305,140318
Maryland,4273260,3892442,1818202,861669
Massachusetts,4934755,4495563,2300423,1049675
Michigan,6971895,6411597,2208170,870008
Minnesota,3898742,3669895,1516426,522543
Mississippi,1968167,1702178,487663,184007
Missouri,4226634,3871249,1340643,517428
Montana,766758,723450,266820,95443
Nebraska,1292536,1191221,445261,158751
Nevada,2192826,1911173,604626,211418
New Hampshire,1008318,952238,405815,158459
New Jersey,6474427,5890494,2790646,1126293
New Mexico,1450549,1268955,435930,204185
New York,13987094,12313514,5583687,2477848
North Carolina,7245632,6499145,2529657,955976
North Dakota,506739,474432,160847,47533
Ohio,8117973,7447659,2493910,957286
Oklahoma,2639889,2341875,737183,254015
Oregon,3030635,2784373,1101061,420755
Pennsylvania,9161945,8418661,3164985,1277263
Puerto Rico,2401409,1912629,683894,190538
Rhode Island,773464,689448,282326,120732
South Carolina,3598398,3224401,1134636,429896
South Dakota,590377,549364,186946,59688
Tennessee,4814533,4320485,1467481,543077
Texas,19224688,16415784,6366437,2288616
Utah,2010727,1873479,740097,255215
Vermont,462705,437478,205621,85248
Virginia,5942672,5430700,2484460,1089585
Washington,5401149,4987844,2104662,817197
West Virginia,1265439,1123971,305188,125812
Wisconsin,4076339,3804265,1326478,450011
Wyoming,395348,369992,115618,42363
