state,median_household_income_2019
Alabama,51734
Alaska,75463
Arizona,62055
Arkansas,48952
California,80440
Colorado,77127
Connecticut,78833
Delaware,70176
Florida,59227
Georgia,61980
Hawaii,83102
Idaho,60999
Illinois,69187
Indiana,57603
Iowa,61691
Kansas,62087
Kentucky,52295
Louisiana,51073
Maine,58924
Maryland,86738
Massachusetts,85843
Michigan,59584
Minnesota,74593
Mississippi,45792
Missouri,57409
Montana,57153
Nebraska,63229
Nevada,63276
New Hampshire,77933
New Jersey,85751
New Mexico,51945
New York,72108
North Carolina,57341
North Dakota,64577
Ohio,58642
Oklahoma,54449
Oregon,67058
Pennsylvania,63463
Rhode Island,71169
South Carolina,56227
South Dakota,59533
Tennessee,56071
Texas,64034
Utah,75780
Vermont,63001
Virginia,76456
Washington,78687
West Virginia,48850
Wisconsin,64168
Wyoming,65003
District of Columbia,92266
Puerto Rico, 20474	
