state,white_non_latino_percent_2020
Alabama,63.1
Alaska,57.5
Arizona,53.4
Arkansas,68.5
California,34.7
Colorado,65.1
Connecticut,63.2
Delaware,58.6
Florida,51.5
Georgia,50.1
Hawaii,21.6
Idaho,78.9
Illinois,58.3
Indiana,75.5
Iowa,82.7
Kansas,72.2
Kentucky,81.3
Louisiana,55.8
Maine,90.2
Maryland,47.2
Massachusetts,67.6
Michigan,72.4
Minnesota,76.3
Mississippi,55.4
Missouri,75.8
Montana,83.1
Nebraska,75.7
Nevada,45.9
New Hampshire,87.2
New Jersey,51.8
New Mexico,36.5
New York,52.5
North Carolina,60.5
North Dakota,81.7
Ohio,75.9
Oklahoma,60.8
Oregon,71.7
Pennsylvania,73.5
Rhode Island,68.7
South Carolina,62.1
South Dakota,79.6
Tennessee,70.9
Texas,39.7
Utah,75.4
Vermont,89.1
Virginia,58.6
Washington,63.8
West Virginia,89.1
Wisconsin,78.6
Wyoming,81.4
District of Columbia,38.0
Puerto Rico,0.7
