state,cases_per_100k,deaths_per_100k,death_rate,pct_full_max,pct_full_asof_2022-03-01,pct_full_growth_pp_2021-09-01_to_2022-09-01,trump_pct,biden_pct,FMNOENF,AGEPRIORITY,stayhome_days_since_earliest_adoption,stayhome_duration_days,clbsns_days_since_earliest_adoption,clbsns_duration_days,FM_ALL_days_since_earliest_adoption,population_65_plus_percent,hs_pct,bachelors_pct,advanced_pct,median_household_income_2019,white_non_latino_percent_2020
Alabama,33490.14628199919,439.4758228362454,0.0131225411539173,53.12,50.25,13.769999999999996,62.2,36.7,1.0,0.0,16.0,26.0,9.0,33.0,99.0,17.8,87.93,27.43,10.85,51734,63.1
Alaska,42256.22435020519,196.71682626538987,0.0046553337239756,65.07,60.98,16.099999999999994,53.1,43.0,0.0,1.0,9.0,27.0,5.0,31.0,16.0,13.1,93.31,32.79,11.91,75463,57.5
Arizona,33028.729281767955,447.2443066972106,0.013541069136562,65.95,60.13,15.14,49.1,49.4,0.0,0.0,12.0,46.0,12.0,38.0,-1.0,18.5,88.97,32.43,12.64,62055,53.4
Arkansas,33266.347740019795,431.14483668756185,0.012960389882803,56.82,53.51,13.82,62.4,34.8,0.0,0.0,-1.0,0.0,18.0,28.0,103.0,17.7,88.67,25.27,9.37,48952,68.5
California,30911.29343629344,264.87756553546023,0.0085689576879517,74.6,70.33,17.470000000000006,34.3,63.5,1.0,0.0,0.0,312.0,0.0,50.0,71.0,15.2,84.45,36.19,14.05,80440,34.7
Colorado,30492.59641873278,245.26515151515156,0.0080434328434057,73.42,69.22,14.54,41.9,55.4,0.0,0.0,7.0,32.0,0.0,43.0,99.0,15.1,92.43,44.42,17.04,77127,65.1
Connecticut,27507.89991565926,344.95361259488334,0.0125401653216905,82.98,77.81,14.570000000000007,39.2,59.3,1.0,0.0,-1.0,0.0,4.0,58.0,12.0,18.2,91.11,42.13,18.94,78833,63.2
Delaware,33724.51874366768,339.61499493414385,0.0100702695719835,73.26,67.57,15.490000000000002,39.8,58.8,0.0,0.0,5.0,69.0,5.0,45.0,20.0,20.0,91.36,35.62,15.05,70176,58.6
District of Columbia,26600.89552238806,213.7313432835821,0.0080347424057096,90.25,71.55,21.47000000000001,5.4,93.0,0.0,0.0,13.0,58.0,6.0,65.0,9.0,12.7,92.79,63.05,37.82,92266,38.0
Florida,34706.98476970506,400.9616711912759,0.0115527659303111,69.34,65.97,14.990000000000007,51.2,47.9,0.0,1.0,15.0,45.0,15.0,45.0,-1.0,21.3,89.79,33.16,12.55,59227,51.5
